	th1_ko1.cel	th1_ko2.cel	th1_ko3.cel	th1_wt1.cel	th1_wt2.cel	th1_wt3.cel
1430721_at	3.643153	3.610691	3.562991	3.700519	3.671702	3.624146
1430722_at	5.09838	5.218211	5.349208	5.396352	5.302477	5.310706
1430723_at	4.288197	4.597635	4.418275	4.25611	4.350029	4.4147
1430724_at	4.469393	4.402667	4.528859	4.604988	4.547894	4.649374
1430725_at	4.55661	4.625457	4.643422	4.695645	4.801873	4.639806
1430726_at	3.471076	3.377923	3.293754	3.355422	3.38933	3.236721
1430727_at	3.65666	3.685293	3.780913	3.657281	3.712664	3.714164
1430728_at	4.262969	4.164885	4.183323	4.142192	4.323159	4.307716
1430729_at	4.489824	4.243343	4.561603	4.2576	4.433559	4.393193
1430730_at	3.927527	4.024456	3.79956	4.195379	3.862736	3.935607
1430731_at	4.065888	4.11145	4.11145	3.998819	4.059296	3.936204
1430732_at	5.406077	5.255591	5.180368	5.601181	5.479313	5.421937
1430733_at	3.26418	3.422699	3.273702	3.133314	3.214932	3.263912
1430734_at	5.847762	5.928025	5.766735	5.831492	5.859501	5.821739
1430735_at	4.459727	4.427458	4.517456	4.504126	4.511564	4.47383
1430736_at	5.642403	5.708462	5.528266	5.546304	5.631559	5.672564
1430737_at	4.076509	3.91416	3.921271	3.921271	3.902191	3.940352
1430738_at	3.533247	3.635955	3.57622	3.563117	3.729484	3.431702
1430739_at	3.602587	3.486526	3.472802	3.472222	3.547384	3.513907
1430740_at	3.798488	3.714958	3.669933	3.535004	3.698212	3.614873
1430741_at	4.126641	4.277472	4.228783	4.063831	4.257379	4.144225
1430742_a_at	4.293085	4.477835	4.234781	4.369098	4.583845	4.383591
1430743_at	4.521873	4.291881	4.503897	4.71179	4.450534	4.724765
1430744_at	4.504476	4.458239	4.439333	4.526187	4.323466	4.448892
1430745_at	3.431487	3.385733	3.401916	3.137828	3.22686	3.288407
1430746_at	4.471835	4.186587	4.378204	4.314669	4.193382	4.457035
1430747_at	4.717701	4.627819	4.812344	4.792126	4.694226	4.999752
1430748_at	4.274665	4.341429	4.288265	4.41995	4.32707	4.64395
1430749_at	3.059252	3.038115	3.103204	3.200822	3.218837	3.147267
1430750_at	4.950658	5.131256	4.845519	4.837086	4.885995	5.038226
1430751_at	4.176504	4.102889	3.883237	3.819965	4.011327	4.130172
1430752_at	7.039415	6.27403	6.971417	7.039415	6.829075	7.110416
1430753_at	4.832593	4.864159	4.707336	4.599037	4.578221	4.707408
1430754_at	5.609539	5.775381	5.60519	5.81478	5.55007	5.579183
1430755_at	3.706192	4.062071	3.932984	3.997215	3.892935	4.117527
1430756_at	3.949552	4.021196	4.006962	4.065186	4.044839	3.937643
1430757_at	5.880117	5.998917	5.85177	5.899421	5.920861	5.986243
1430758_x_at	4.475848	4.404504	4.295552	4.417238	4.195811	4.162772
1430759_at	5.406441	4.797501	5.169652	5.191857	5.012057	5.157331
1430760_a_at	3.563243	3.848892	3.738496	3.717786	3.590998	3.770478
1430761_at	3.764059	3.91416	3.773145	3.892935	3.738945	3.876383
1430762_at	3.188135	3.172666	3.221637	3.151152	3.101539	3.041948
1430763_at	6.214606	6.163788	6.238031	6.359833	6.296839	6.27704
1430764_at	4.26917	4.234781	4.623133	4.211364	3.852664	3.929127
1430765_at	4.08092	4.240188	4.295284	4.105585	4.192418	4.108577
1430766_at	3.812884	3.687935	3.919308	3.667771	3.621695	3.732233
1430767_a_at	3.211664	3.413242	3.196539	3.220228	3.407429	3.196539
1430768_at	3.471076	3.352301	3.30654	3.431098	3.619054	3.464616
1430769_s_at	7.401963	7.547303	7.748243	7.422186	7.534794	7.612244
1430770_at	3.211221	3.238387	3.188135	3.060443	3.15974	3.249194
1430771_a_at	5.235235	4.986597	5.190502	5.249466	5.463327	5.264012
1430772_at	3.597056	3.498422	3.732222	3.445403	3.707661	3.695922
1430773_a_at	3.590998	3.561224	3.719256	3.643153	3.607199	3.547117
1430774_at	4.899464	4.808658	4.456704	4.732136	4.680771	4.62255
1430775_at	4.646008	4.455604	4.601914	4.664484	4.707077	4.798559
1430776_s_at	5.258515	5.240844	5.258515	5.286483	5.145424	5.457048
1430777_a_at	7.86846	7.528994	7.761832	7.921193	7.814628	7.667428
1430778_a_at	9.589672	9.568617	9.663742	9.597166	9.588508	9.545636
1430779_at	6.094863	6.080457	6.077694	6.223	6.094863	6.03456
1430780_a_at	7.562118	7.51775	7.30679	7.517716	7.542973	7.243423
1430781_at	5.014385	4.961033	5.097568	5.041839	5.042981	5.150093
1430782_at	7.005006	6.530569	7.017177	7.101251	6.969887	7.052501
1430783_at	3.647801	3.595036	3.516422	3.756434	3.490065	3.586871
1430784_a_at	4.914017	4.415851	4.814499	4.609126	4.624457	4.689376
1430785_at	4.058024	4.129756	3.967918	3.810702	3.909694	3.977726
1430786_at	4.713859	4.371877	4.328455	4.354493	4.535472	4.572887
1430787_at	3.643153	3.984206	3.617917	3.603186	3.644063	3.734679
1430788_at	3.415161	3.300384	3.471305	3.250901	3.300898	3.407024
1430789_at	3.387159	3.455604	3.373659	3.333565	3.54373	3.516908
1430790_at	3.719986	3.939678	3.789124	3.873563	3.78012	3.730834
1430791_at	3.437506	3.318622	3.526311	3.338377	3.341854	3.534026
1430792_at	3.264859	3.377923	3.312165	3.282196	3.170987	3.396489
1430793_at	3.373592	3.373556	3.410399	3.392331	3.377652	3.341537
1430794_at	4.256822	4.33734	4.386929	4.188608	4.27688	4.34512
1430795_at	4.216042	4.174749	4.219157	4.29315	4.293865	4.248374
1430796_at	3.570661	3.608581	3.587055	3.549427	3.564429	3.775673
1430797_at	4.637987	4.533941	4.683222	4.511905	4.620575	4.627859
1430798_x_at	5.050946	5.120167	5.574372	5.405575	5.462234	5.265033
1430799_at	5.232592	5.089518	5.125396	5.258426	5.236261	5.293076
1430800_at	4.51654	4.377261	4.312437	4.182131	4.28159	4.310699
1430801_at	5.104306	4.927566	4.793481	4.892944	4.936118	4.999187
1430802_at	8.61698	8.61698	8.79121	9.218396	9.110303	8.916993
1430803_at	3.417548	3.203864	3.201232	3.209655	3.127851	3.162565
1430804_at	3.289586	3.151348	3.267649	3.236489	3.45535	3.250042
1430805_s_at	7.417174	7.519236	7.594681	7.836141	7.696125	7.674599
1430806_at	3.156381	3.180909	3.143107	3.11224	3.172014	3.197269
1430807_at	4.346362	4.242803	4.198853	4.099244	4.584913	4.203893
1430808_at	4.494971	4.459653	4.195187	4.237961	4.212805	4.371596
1430809_at	3.441304	3.753068	3.533846	3.430106	3.477319	3.45907
1430810_at	3.429596	3.539667	3.586777	3.493578	3.552719	3.539667
1430811_a_at	9.059834	9.076234	9.067121	9.397344	9.369505	9.384677
1430812_at	3.076624	3.158493	3.189254	3.190768	3.100843	3.131604
1430813_at	4.811279	4.876619	4.760094	4.846927	4.876082	4.837334
1430814_at	5.276721	5.479519	5.618511	5.424247	5.313005	5.441634
1430815_at	4.964105	4.476969	4.555328	4.920786	4.74288	4.855971
1430816_at	5.048925	5.276808	4.996216	5.293878	5.363564	5.156901
1430817_at	3.394208	3.343179	3.468129	3.399529	3.273898	3.326862
1430818_at	3.753822	3.926883	3.831267	3.802053	3.955252	3.855338
1430819_at	5.280645	5.159613	5.028265	5.137474	5.246633	5.442074
1430820_a_at	8.623856	8.538812	8.358572	8.514653	8.496867	8.494278
